Flokkun,N,skipting,ath
Amphipoda,1,¼,
Amphitrite cirrata,1,1,stór
Aricidea suecica,3,¼,
Arctica islandica,1,¼,Smá <10 mm
Bivalvia,,,
Capitellidae,,,
Corophium bonnellii,3,¼,
Chaetozone setosa,1,1,
Cumacea,,,
Etone longa,,,
Etone longa,1,1,
Foraminifera,,,
Harpacticoida sp,,,
Heteromastus filiformis,,,
Heteromastus filiformis,,,
Levinsenia gracilis,,,
lirfurOgDrasl,,,
lirfurOgDrasl,,,
Lumbrineridae sp,,,
Macoma calcaria,8,¼,
Macoma calcaria,,,2 tómar ömnur 19 mm
Maldanidae,,,
Maldanidae,,,
Maldanidae með augu,,,
Microphthalmus aberrans,,,
Mya arenaria,,,
Nematoda,,,
Nematoda,,,
Nemertea sp,,,
Nemertea sp,,,
Oligochaeta sp,,,
Oligochaeta sp,,,
Ophelina acuminata,12,¼,
Ophelina acuminata,1,1,
Ostracoda,,,
Ostracoda,,,
Pectinariidae sp,,,
Pholoe sp,,,
Phyllodoce maculata,2,¼,
Phyllodocida,,,
Polychaeta sp,,,
Polychaeta sp,,,
Polydora,1,1,
Polydora,8,¼,
Praxillella praetermissa,,,
Praxillella praetermissa,,,
Priapulidae sp,,,
Scalibregma inflatum,,,
Scalibregma inflatum,,,
Scoloplos armiger,5,¼,
Scoloplos armiger,1,1,
Sipuncula ,,,
Sphaerodoropsis minuta,,,
spio,2,1,
Spionidae sp,,,
Spionidae sp,,,
Terebellinae,,,
Cirratulidae,1,1,Slitinn og illa fixeraður
Nematoda,4,1,
Ostracoda,3,1,
Foraminifera,3,1,
